Category Name,Name,Gross Sales,Sold,year
Stir Fry,S1. Ga Xao Xa Ot,1254.75,105.0,2021
Pho,P1. Pho Dac Biet,27823.5,1975.0,2022
Pho,P4. Pho Tai,17562.5,1283.0,2022
Pho,P14. Pho Ga,12645.0,920.0,2022
Pho,P2. Pho Tai Nam Gau,6898.0,502.0,2022
Pho,P5. Pho Chin,5899.5,429.0,2022
Pho,P6. Pho Chin Nam Gau,5330.5,383.0,2022
Pho,P10. Pho Tai Gau,4708.0,336.0,2022
Pho,P12. Pho Tai Bo Vien,4262.5,307.0,2022
Pho,P13. Pho Bo Vien,2363.7,197.0,2022
Pho,P3. Pho Tai Nam Gan,1611.5,117.0,2022
Pho,P7. Pho Chin Nam Gan,1524.0,110.0,2022
Pho,P9. Pho Tai Nam,1357.5,99.0,2022
Pho,P8. Pho Tai Gan,927.5,67.0,2022
Pho,P11. Pho Tai Sach,588.5,43.0,2022
Rice,C1. Com Thit Nuong Trung Op La,13449.5,1021.0,2022
Rice,C4. Com Chien,4210.8,304.0,2022
Rice,C3. Con Chien Duong Chau,3854.8,264.0,2022
Rice,C2. Com Ga Nuong,3541.0,270.0,2022
Appetizer,A2. Goi Cuon,7272.45,1311.0,2022
Appetizer,A1. Cha Gio,6179.95,1361.0,2022
Appetizer,A6. Grilled Pork Banh Mi,4867.65,647.0,2022
Appetizer,A3. Goi Cuon Chay,1267.2,256.0,2022
Appetizer,A4.  Banh Mi Bo Kho,810.75,85.0,2022
Appetizer,Canh Ga Chien Nuoc Mam,310.8,24.0,2022
Appetizer,Side Of Pho Broth,100.0,40.0,2022
Bun/ Vermicelli,B1. Bun Tom Thit Nuong Cha Gio,8717.5,565.0,2022
Bun/ Vermicelli,B2. Bun Thit Nuong,2788.5,211.0,2022
Bun/ Vermicelli,B6. Bun Ga Nuong,1909.0,144.0,2022
Bun/ Vermicelli,B5. Bun Chay,1780.55,149.0,2022
Bun/ Vermicelli,B3. Bun Tom Nuong,1294.0,98.0,2022
Bun/ Vermicelli,B4. Bun Cha Gio,671.5,51.0,2022
Noodle Soup,K3. Bun Bo Hue,10975.4,700.0,2022
Noodle Soup,K1. Hu Tieu Bo Kho,3639.0,246.0,2022
Stir Fry,S3. Hu Tieu Xao,6647.15,477.0,2022
Stir Fry,S2. Rao Cai Xao,2453.2,176.0,2022
Stir Fry,S1. Ga Xao Xa Ot,1502.5,110.0,2022
Pho,P1. Pho Dac Biet,24809.0,1730.0,2023
Pho,P4. Pho Tai,13696.0,972.0,2023
Pho,P14. Pho Ga,12509.5,881.0,2023
Pho,P5. Pho Chin,6377.5,453.0,2023
Pho,P2. Pho Tai Nam Gau,5631.0,398.0,2023
Pho,P10. Pho Tai Gau,4713.0,334.0,2023
Pho,P6. Pho Chin Nam Gau,4662.5,331.0,2023
Pho,P12. Pho Tai Bo Vien,3192.0,228.0,2023
Pho,P13. Pho Bo Vien,2179.0,195.0,2023
Pho,P3. Pho Tai Nam Gan,1500.5,107.0,2023
Pho,P7. Pho Chin Nam Gan,1024.0,72.0,2023
Pho,P8. Pho Tai Gan,932.5,67.0,2023
Pho,P9. Pho Tai Nam,811.0,58.0,2023
Pho,P11. Pho Tai Sach,554.5,39.0,2023
Rice,C1. Com Thit Nuong Trung Op La,11299.5,837.0,2023
Rice,C4. Com Chien,4257.0,300.0,2023
